POS,Player,Team,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
9,Rinku Singh,KKR,474,14,14,6,67*,59.25,317,149.52,0,4,31,29
14,Nitish Rana,KKR,413,14,14,1,75,31.77,293,140.95,0,3,39,20
16,Venkatesh Iyer,KKR,404,14,14,0,104,28.86,277,145.84,1,2,32,21
33,Jason Roy,KKR,285,8,8,0,61,35.63,188,151.59,0,2,36,12
46,Andre Russell,KKR,227,14,14,3,42,20.64,156,145.51,0,0,13,18
47,Rahmanullah Gurbaz,KKR,227,11,11,0,81,20.64,170,133.52,0,2,17,15
69,Shardul Thakur,KKR,113,11,10,2,68,14.13,70,161.42,0,1,13,4
76,Jagadeesan Narayan,KKR,89,6,6,0,36,14.83,81,109.87,0,0,14,1
106,Anukul Roy,KKR,23,4,4,2,13*,11.50,19,121.05,0,0,3,0
109,David Wiese,KKR,21,3,3,2,12*,21.00,11,190.90,0,0,0,3
111,Sunil Narine,KKR,21,14,10,3,7*,3.00,25,84.00,0,0,2,1
115,Umesh Yadav,KKR,19,8,5,3,6*,9.50,18,105.55,0,0,1,0
125,Mandeep Singh,KKR,14,3,3,0,12,4.67,16,87.50,0,0,0,1
146,Litton Das,KKR,4,1,1,0,4,4.00,4,100.00,0,0,1,0
149,Vaibhav Arora,KKR,3,5,2,2,2*,-,2,150.00,0,0,0,0
166,Varun Chakaravarthy,KKR,1,14,2,1,1,1.00,9,11.11,0,0,0,0
