striker,totalrunsscored,Total_batting_average,batting_strike_rate,totalballsfaced,totalwickets,economyrate,oversbowled_clean,totalrunsscored_norm,Total_batting_average_norm,batting_strike_rate_norm,totalwickets_norm,economyrate_norm,Player_type,Overall_score
MS Wade,161,14.63636364,105.92,152,0,0,0,0.071333629,0.212121212,0.353066667,0,1,Batsman,19.80898151
SS Prabhudessai,126,12.6,111.5,113,0,0,0,0.055826318,0.182608696,0.371666667,0,1,Batsman,18.86131359
Aman Hakim Khan,115,12.77777778,105.5,109,0,0,0,0.050952592,0.185185185,0.351666667,0,1,Batsman,18.14365923
EJG Morgan,124,10.33333333,93.94,132,0,0,0,0.054940186,0.149758454,0.313133333,0,1,Batsman,16.08436107
A Kamboj,2,0,100,2,2,11.07,11.2,0.000886132,0,0.333333333,0.023809524,0.584926884,Other Players,0
A Tomar,4,4,50,8,0,0,0,0.001772264,0.057971014,0.166666667,0,1,Other Players,0
AA Kulkarni,9,4.5,112.5,8,0,0,0,0.003987594,0.065217391,0.375,0,1,Other Players,0
AF Milne,16,8,84.21,19,3,9.47,17,0.007089056,0.115942029,0.2807,0.035714286,0.644919385,Other Players,0
AJ Finch,86,17.2,122.86,70,0,0,0,0.038103677,0.249275362,0.409533333,0,1,Other Players,0
AJ Hosein,16,0,145.45,11,1,10.5,4,0.007089056,0,0.484833333,0.011904762,0.606299213,Other Players,0
AJ Turner,21,10.5,105,20,0,0,0,0.009304386,0.152173913,0.35,0,1,Other Players,0
AS Roy,26,8.666666667,108.33,24,4,8.67,21.1,0.011519716,0.125603865,0.3611,0.047619048,0.674915636,Other Players,0
AU Rashid,22,11,129.41,17,2,9.1,10,0.009747452,0.15942029,0.431366667,0.023809524,0.658792651,Other Players,0
Abdul Basith,1,0,100,1,0,0,0,0.000443066,0,0.333333333,0,1,Other Players,0
Arjun Tendulkar,13,13,144.44,9,3,9.63,13.5,0.005759858,0.188405797,0.481466667,0.035714286,0.638920135,Other Players,0
Arshad Khan (2),5,5,125,4,0,0,0,0.00221533,0.072463768,0.416666667,0,1,Other Players,0
Azmatullah Omarzai,42,10.5,123.53,34,4,9.63,21.5,0.018608773,0.152173913,0.411766667,0.047619048,0.638920135,Other Players,0
B Indrajith,21,7,67.74,31,0,0,0,0.009304386,0.101449275,0.2258,0,1,Other Players,0
BA Stokes,15,5,100,15,0,0,0,0.00664599,0.072463768,0.333333333,0,1,Other Players,0
BR Sharath,2,2,40,5,0,0,0,0.000886132,0.028985507,0.133333333,0,1,Other Players,0
CA Lynn,0,0,0,0,0,0,0,0,0,0,0,1,Other Players,0
D Ferreira,8,4,72.73,11,0,0,0,0.003544528,0.057971014,0.242433333,0,1,Other Players,0
D Wiese,21,21,190.91,11,0,0,0,0.009304386,0.304347826,0.636366667,0,1,Other Players,0
DJ Malan,26,26,100,26,0,0,0,0.011519716,0.376811594,0.333333333,0,1,Other Players,0
DJ Willey,53,26.5,82.81,64,4,7.16,26.4,0.023482499,0.384057971,0.276033333,0.047619048,0.731533558,Other Players,0
DT Christian,12,2,63.16,19,4,9.36,14.1,0.005316792,0.028985507,0.210533333,0.047619048,0.64904387,Other Players,0
FA Allen,14,7,73.68,19,2,9.07,15.1,0.006202924,0.101449275,0.2456,0.023809524,0.65991751,Other Players,0
GD Phillips,65,9.285714286,118.18,55,2,8.04,5.1,0.028799291,0.134575569,0.393933333,0.023809524,0.698537683,Other Players,0
GHS Garton,2,2,50,4,3,8.94,16.1,0.000886132,0.028985507,0.166666667,0.035714286,0.664791901,Other Players,0
Gulbadin Naib,19,19,126.67,15,0,0,0,0.008418254,0.275362319,0.422233333,0,1,Other Players,0
HE van der Dussen,22,11,88,25,0,0,0,0.009747452,0.15942029,0.293333333,0,1,Other Players,0
HR Shokeen,66,22,98.51,67,5,9.6,35.3,0.029242357,0.31884058,0.328366667,0.05952381,0.640044994,Other Players,0
Harbhajan Singh,2,0,100,2,0,0,0,0.000886132,0,0.333333333,0,1,Other Players,0
J Yadav,34,17,130.77,26,2,7.57,21.4,0.015064245,0.246376812,0.4359,0.023809524,0.71616048,Other Players,0
JA Richardson,17,5.666666667,68,25,2,10.29,10.2,0.007532122,0.082125604,0.226666667,0.023809524,0.614173228,Other Players,0
JC Archer,4,0,100,4,2,10.66,21.3,0.001772264,0,0.333333333,0.023809524,0.600299963,Other Players,0
JDS Neesham,31,7.75,106.9,29,5,8.25,12,0.013735047,0.112318841,0.356333333,0.05952381,0.690663667,Other Players,0
JE Root,10,10,66.67,15,0,0,0,0.00443066,0.144927536,0.222233333,0,1,Other Players,0
K Yadav,0,0,0,4,2,9.56,9,0,0,0,0.023809524,0.641544807,Other Players,0
KA Maharaj,1,1,50,2,2,6.5,6,0.000443066,0.014492754,0.166666667,0.023809524,0.756280465,Other Players,0
KK Nair,16,8,88.89,18,0,0,0,0.007089056,0.115942029,0.2963,0,1,Other Players,0
KL Nagarkoti,0,0,0,2,0,0,0,0,0,0,0,1,Other Players,0
KM Asif,0,0,0,2,4,9.71,17.3,0,0,0,0.047619048,0.63592051,Other Players,0
KM Jadhav,67,16.75,103.08,65,0,0,0,0.029685423,0.242753623,0.3436,0,1,Other Players,0
KS Sharma,16,5.333333333,64,25,0,0,0,0.007089056,0.077294686,0.213333333,0,1,Other Players,0
Kumar Kushagra,3,1,42.86,7,0,0,0,0.001329198,0.014492754,0.142866667,0,1,Other Players,0
L Wood,9,0,300,3,1,15.65,6.2,0.003987594,0,1,0.011904762,0.41319835,Other Players,0
LB Williams,1,0,50,2,1,12.43,7,0.000443066,0,0.166666667,0.011904762,0.533933258,Other Players,0
Liton Das,4,4,100,4,0,0,0,0.001772264,0.057971014,0.333333333,0,1,Other Players,0
M Vohra,50,8.333333333,116.28,43,0,0,0,0.022153301,0.120772947,0.3876,0,1,Other Players,0
MC Henriques,31,15.5,96.88,32,4,4.95,10.1,0.013735047,0.224637681,0.322933333,0.047619048,0.8143982,Other Players,0
MD Shanaka,26,13,100,26,0,0,0,0.011519716,0.188405797,0.333333333,0,1,Other Players,0
MJ Suthar,1,1,50,2,0,0,0,0.000443066,0.014492754,0.166666667,0,1,Other Players,0
Mandeep Singh,47,6.714285714,87.04,54,0,0,0,0.020824103,0.097308489,0.290133333,0,1,Other Players,0
Mayank Dagar,0,0,0,1,2,9.22,23,0,0,0,0.023809524,0.654293213,Other Players,0
Mohammad Nabi,55,7.857142857,137.5,40,2,10.19,16.2,0.024368631,0.113871636,0.458333333,0.023809524,0.61792276,Other Players,0
Mohit Rathee,1,0,50,2,0,0,0,0.000443066,0,0.166666667,0,1,Other Players,0
Mujeeb Ur Rahman,1,0,100,1,2,7.86,4.2,0.000443066,0,0.333333333,0.023809524,0.705286839,Other Players,0
NA Saini,2,2,40,5,0,0,0,0.000886132,0.028985507,0.133333333,0,1,Other Players,0
P Dubey,16,16,80,20,1,6.45,3.1,0.007089056,0.231884058,0.266666667,0.011904762,0.758155231,Other Players,0
PJ Sangwan,2,2,33.33,6,3,7.5,9.2,0.000886132,0.028985507,0.1111,0.035714286,0.718785152,Other Players,0
PN Mankad,97,32.33333333,129.33,75,0,0,0,0.042977404,0.468599034,0.4311,0,1,Other Players,0
R Sanjay Yadav,0,0,0,2,0,0,0,0,0,0,0,1,Other Players,0
RA Bawa,11,5.5,78.57,14,0,0,0,0.004873726,0.079710145,0.2619,0,1,Other Players,0
RJ Gleeson,2,0,100,2,1,9.28,8.3,0.000886132,0,0.333333333,0.011904762,0.652043495,Other Players,0
RJW Topley,3,0,50,6,5,10.69,17.5,0.001329198,0,0.166666667,0.05952381,0.599175103,Other Players,0
RK Bhui,3,1.5,33.33,9,0,0,0,0.001329198,0.02173913,0.1111,0,1,Other Players,0
RV Patel,80,16,105.26,76,0,0,0,0.035445281,0.231884058,0.350866667,0,1,Other Players,0
S Gopal,16,16,133.33,12,4,10.36,14,0.007089056,0.231884058,0.444433333,0.047619048,0.611548556,Other Players,0
S Nadeem,0,0,0,0,0,0,0,0,0,0,0,1,Other Players,0
SA Abbott,7,7,140,5,1,11.63,4.3,0.003101462,0.101449275,0.466666667,0.011904762,0.563929509,Other Players,0
SB Dubey,33,16.5,157.14,21,0,0,0,0.014621179,0.239130435,0.5238,0,1,Other Players,0
SE Rutherford,33,16.5,63.46,52,0,0,0,0.014621179,0.239130435,0.211533333,0,1,Other Players,0
SH Johnson,6,0,85.71,7,4,9.94,16.3,0.002658396,0,0.2857,0.047619048,0.627296588,Other Players,0
SK Raina,98,10.88888889,112.64,87,0,0,0,0.04342047,0.157809984,0.375466667,0,1,Other Players,0
SP Jackson,23,5.75,88.46,26,0,0,0,0.010190518,0.083333333,0.294866667,0,1,Other Players,0
SZ Mulani,1,0,100,1,0,0,0,0.000443066,0,0.333333333,0,1,Other Players,0
Sachin Baby,7,7,41.18,17,0,0,0,0.003101462,0.101449275,0.137266667,0,1,Other Players,0
Sameer Rizvi,51,12.75,118.6,43,0,0,0,0.022596367,0.184782609,0.395333333,0,1,Other Players,0
Sanvir Singh,25,12.5,113.64,22,0,0,0,0.01107665,0.18115942,0.3788,0,1,Other Players,0
Saurav Chauhan,18,6,112.5,16,0,0,0,0.007975188,0.086956522,0.375,0,1,Other Players,0
Shakib Al Hasan,35,7,100,35,2,7.4,18.1,0.015507311,0.101449275,0.333333333,0.023809524,0.722534683,Other Players,0
Shivam Singh,2,0,66.67,3,0,0,0,0.000886132,0,0.222233333,0,1,Other Players,0
Sumit Kumar,18,9,69.23,26,0,0,0,0.007975188,0.130434783,0.230766667,0,1,Other Players,0
T Kohler-Cadmore,48,16,88.89,54,0,0,0,0.021267169,0.231884058,0.2963,0,1,Other Players,0
T Shamsi,2,0,50,4,0,0,0,0.000886132,0,0.166666667,0,1,Other Players,0
TK Curran,0,0,0,1,3,7.75,4,0,0,0,0.035714286,0.709411324,Other Players,0
TL Seifert,26,8.666666667,100,26,0,0,0,0.011519716,0.125603865,0.333333333,0,1,Other Players,0
Tanush Kotian,24,24,75,32,0,0,0,0.010633584,0.347826087,0.25,0,1,Other Players,0
V Viyaskanth,7,0,140,5,1,9.4,10,0.003101462,0,0.466666667,0.011904762,0.647544057,Other Players,0
Virat Singh,15,7.5,57.69,26,0,0,0,0.00664599,0.108695652,0.1923,0,1,Other Players,0
Vishnu Vinod,37,12.33333333,115.62,32,0,0,0,0.016393443,0.178743961,0.3854,0,1,Other Players,0
Vivrant Sharma,69,69,140.82,49,0,0,0,0.030571555,1,0.4694,0,1,Other Players,0
YV Dhull,16,5.333333333,69.57,23,0,0,0,0.007089056,0.077294686,0.2319,0,1,Other Players,0
Yudhvir Singh,22,5.5,137.5,16,4,10.98,12.2,0.009747452,0.079710145,0.458333333,0.047619048,0.588301462,Other Players,0
